District,Consumption,Level,AKI,Expenditure per Capita,Fish Expenditure,Percentage
SIMEULUE,0.809,Sedang,65.53,7085,15215,11.17
ACEH SINGKIL,0.999,Sedang,65.53,8707,16020,9.57
ACEH SELATAN,1.157,Sedang,65.53,8089,18625,11.97
ACEH TENGGARA,1.599,Sedang,65.53,8020,13899,9.01
ACEH TIMUR,1.042,Sedang,65.53,8489,17670,10.82
ACEH TENGAH,0.77,Rendah,65.53,10673,15880,7.74
ACEH BARAT,0.971,Sedang,65.53,9516,22796,12.46
ACEH BESAR,0.76,Rendah,65.53,9641,20339,10.97
PIDIE,0.794,Sedang,65.53,9816,16910,8.96
BIREUEN,0.893,Sedang,65.53,8857,17873,10.49
ACEH UTARA,0.953,Sedang,65.53,8122,14653,9.38
ACEH BARAT DAYA,0.935,Sedang,65.53,8316,14928,9.33
GAYO LUES,1.5,Sedang,65.53,8791,19557,11.57
ACEH TAMIANG,0.721,Rendah,65.53,8327,10981,6.86
NAGAN RAYA,0.86,Sedang,65.53,8216,16546,10.47
ACEH JAYA,1.006,Sedang,65.53,9615,19889,10.76
BENER MERIAH,0.893,Sedang,65.53,11098,17764,8.32
PIDIE JAYA,1.143,Sedang,65.53,10071,25487,13.16
BANDA ACEH,0.675,Rendah,65.53,16778,21399,6.63
SABANG,0.864,Sedang,65.53,11273,22894,10.56
LANGSA,0.843,Sedang,65.53,12057,16471,7.10
LHOKSEUMAWE,0.858,Sedang,65.53,11367,18274,8.36
SUBULUSSALAM,0.953,Sedang,65.53,7317,13293,9.45
NIAS,1.338,Sedang,56.36,6898,8478,6.39
MANDAILING NATAL,0.831,Sedang,56.36,9684,11375,6.11
TAPANULI SELATAN,0.941,Sedang,56.36,11236,12920,5.98
TAPANULI TENGAH,1.122,Sedang,56.36,10071,15315,7.91
TAPANULI UTARA,2.14,Sedang,56.36,11648,18470,8.25
TOBA SAMOSIR,1.719,Sedang,56.36,12154,22321,9.55
LABUHAN BATU,1.09,Sedang,56.36,11150,15897,7.41
ASAHAN,1.095,Sedang,56.36,10890,14823,7.08
SIMALUNGUN,1.296,Sedang,56.36,11308,15722,7.23
DAIRI,1.775,Sedang,56.36,10350,16766,8.42
KARO,1.277,Sedang,56.36,12349,20320,8.56
DELI SERDANG,0.922,Sedang,56.36,12225,15666,6.66
LANGKAT,0.77,Rendah,56.36,11071,11225,5.27
NIAS SELATAN,0.739,Rendah,56.36,6974,10697,7.98
HUMBANG HASUNDUTAN,2.37,Sedang,56.36,7850,17530,11.61
PAKPAK BHARAT,2.187,Sedang,56.36,8170,14995,9.54
SAMOSIR,2.373,Sedang,56.36,8422,22197,13.71
SERDANG BEDAGAI,0.988,Sedang,56.36,10950,13491,6.41
BATU BARA,1.108,Sedang,56.36,10410,15409,7.70
PADANG LAWAS UTARA,1.207,Sedang,56.36,9987,12313,6.41
PADANG LAWAS,0.925,Sedang,56.36,8807,12026,7.10
LABUHAN BATU SELATAN,1.256,Sedang,56.36,11495,15389,6.96
LABUHAN BATU UTARA,1.374,Sedang,56.36,11779,16743,7.39
NIAS UTARA,1.165,Sedang,56.36,6064,11042,9.47
