District,Year,Consumption,Expenditure per Capita
SIMEULUE,2020,0.809,7085
ACEH SINGKIL,2020,0.999,8707
ACEH SELATAN,2020,1.157,8089
ACEH TENGGARA,2020,1.599,8020
ACEH TIMUR,2020,1.042,8489
ACEH TENGAH,2020,0.77,10673
ACEH BARAT,2020,0.971,9516
ACEH BESAR,2020,0.76,9641
PIDIE,2020,0.794,9816
BIREUEN,2020,0.893,8857
ACEH UTARA,2020,0.953,8122
ACEH BARAT DAYA,2020,0.935,8316
GAYO LUES,2020,1.5,8791
ACEH TAMIANG,2020,0.721,8327
NAGAN RAYA,2020,0.86,8216
ACEH JAYA,2020,1.006,9615
BENER MERIAH,2020,0.893,11098
PIDIE JAYA,2020,1.143,10071
BANDA ACEH,2020,0.675,16778
SABANG,2020,0.864,11273
LANGSA,2020,0.843,12057
LHOKSEUMAWE,2020,0.858,11367
SUBULUSSALAM,2020,0.953,7317
NIAS,2020,1.338,6898
MANDAILING NATAL,2020,0.831,9684
TAPANULI SELATAN,2020,0.941,11236
TAPANULI TENGAH,2020,1.122,10071
TAPANULI UTARA,2020,2.14,11648
TOBA SAMOSIR,2020,1.719,12154
LABUHAN BATU,2020,1.09,11150
ASAHAN,2020,1.095,10890
SIMALUNGUN,2020,1.296,11308
DAIRI,2020,1.775,10350
KARO,2020,1.277,12349
DELI SERDANG,2020,0.922,12225
LANGKAT,2020,0.77,11071
NIAS SELATAN,2020,0.739,6974
HUMBANG HASUNDUTAN,2020,2.37,7850
PAKPAK BHARAT,2020,2.187,8170
SAMOSIR,2020,2.373,8422
SERDANG BEDAGAI,2020,0.988,10950
BATU BARA,2020,1.108,10410
PADANG LAWAS UTARA,2020,1.207,9987
PADANG LAWAS,2020,0.925,8807
LABUHAN BATU SELATAN,2020,1.256,11495
LABUHAN BATU UTARA,2020,1.374,11779
NIAS UTARA,2020,1.165,6064
NIAS BARAT,2020,1.363,5830
SIBOLGA,2020,0.871,11473
TANJUNG BALAI,2020,1.074,11132
PEMATANG SIANTAR,2020,1.268,12372
TEBING TINGGI,2020,0.999,12876
MEDAN,2020,0.929,14890
BINJAI,2020,0.809,10997
PADANGSIDIMPUAN,2020,0.977,10856
GUNUNGSITOLI,2020,0.804,7980
KEPULAUAN MENTAWAI,2020,0.794,6281
PESISIR SELATAN,2020,0.751,9212
SOLOK,2020,0.594,10171
SIJUNJUNG,2020,0.671,10361
