Jenis_Usaha,Provinsi ,Jenis_Ikan,Tahun,Volume_Produksi,Nilai_Produksi
BUDIDAYA,ACEH,BANDENG,2010,20454.80,272487686.0
BUDIDAYA,ACEH,BANDENG,2011,16746.80,251202000.0
BUDIDAYA,ACEH,BANDENG,2012,18492.30,295876800.0
BUDIDAYA,ACEH,BANDENG,2013,20530.0,315768921.0
BUDIDAYA,ACEH,BANDENG,2014,23914.10,373190273.0
BUDIDAYA,ACEH,BANDENG,2015,24930.750,393447645.0
BUDIDAYA,ACEH,BANDENG,2016,30537.0,586835465.0
BUDIDAYA,ACEH,BANDENG,2017,8708.840,147971866.0
BUDIDAYA,ACEH,BANDENG,2018,19805.320,441277765.0
BUDIDAYA,ACEH,BANDENG,2019,32723.140,630565000.0
BUDIDAYA,ACEH,BANDENG,2020,40259.880,849733071.0
BUDIDAYA,ACEH,BAWAL,2010,0.00,0.00
BUDIDAYA,ACEH,BAWAL,2011,0.00,0.00
BUDIDAYA,ACEH,BAWAL,2012,0.00,0.00
BUDIDAYA,ACEH,BAWAL,2013,42.30,1057074.0
BUDIDAYA,ACEH,BAWAL,2014,260.380,4741950.0
BUDIDAYA,ACEH,BAWAL,2015,151.190,2961504.0
BUDIDAYA,ACEH,BAWAL,2016,0.00,0.00
BUDIDAYA,ACEH,BAWAL,2019,24.610,740.488
BUDIDAYA,ACEH,BAWAL,2020,34.410,1038640.0
BUDIDAYA,ACEH,GABUS,2020,9.690,649.080
BUDIDAYA,ACEH,GURAME,2010,844.50,32205487.0
BUDIDAYA,ACEH,GURAME,2011,584.50,14612500.0
BUDIDAYA,ACEH,GURAME,2012,568.50,25582500.0
BUDIDAYA,ACEH,GURAME,2013,605.50,19617000.0
BUDIDAYA,ACEH,GURAME,2014,686.20,20462880.0
BUDIDAYA,ACEH,GURAME,2015,351.10,15035000.0
BUDIDAYA,ACEH,GURAME,2016,101.30,3788500.0
BUDIDAYA,ACEH,GURAME,2017,537.560,21502240.0
BUDIDAYA,ACEH,GURAME,2018,42.940,2108744.0
BUDIDAYA,ACEH,GURAME,2019,349.420,10177740.0
BUDIDAYA,ACEH,GURAMI,2020,577.410,20175405.0
BUDIDAYA,ACEH,KACI-KACI,2020,157.990,9847440.0
BUDIDAYA,ACEH,KAKAP,2010,105.550,3367639.0
BUDIDAYA,ACEH,KAKAP,2011,185.60,5568000.0
BUDIDAYA,ACEH,KAKAP,2012,240.80,8424500.0
BUDIDAYA,ACEH,KAKAP,2013,247.10,15699000.0
BUDIDAYA,ACEH,KAKAP,2014,131.40,8317500.0
BUDIDAYA,ACEH,KAKAP,2015,222.40,12851472.0
BUDIDAYA,ACEH,KAKAP,2016,305.150,16575785.0
BUDIDAYA,ACEH,KAKAP,2017,247.530,11902927.0
BUDIDAYA,ACEH,KAKAP,2018,654.670,42349360.0
BUDIDAYA,ACEH,KAKAP,2019,2622.910,148480295.0
BUDIDAYA,ACEH,KAKAP,2020,530.170,21588450.0
BUDIDAYA,ACEH,KEKERANGAN,2010,0.00,0.00
BUDIDAYA,ACEH,KEKERANGAN,2011,0.00,0.00
BUDIDAYA,ACEH,KEKERANGAN,2012,0.00,0.00
