Year,Cities,Fish Consumption
2021,SIMEULUE,0.817
2021,ACEH SINGKIL,1.003
2021,ACEH SELATAN,1.106
2021,ACEH TENGGARA,1.391
2021,ACEH TIMUR,0.999
2021,ACEH TENGAH,0.825
2021,ACEH BARAT,1.226
2021,ACEH BESAR,0.955
2021,PIDIE,0.920
2021,BIREUEN,1.074
2021,ACEH UTARA,0.977
2021,ACEH BARAT DAYA,1.007
2021,GAYO LUES,1.600
2021,ACEH TAMIANG,0.761
2021,NAGAN RAYA,1.087
2021,ACEH JAYA,1.131
2021,BENER MERIAH,0.872
2021,PIDIE JAYA,1.149
2021,BANDA ACEH,0.693
2021,SABANG,0.832
2021,LANGSA,0.874
2021,LHOKSEUMAWE,0.895
2021,SUBULUSSALAM,0.963
2021,NIAS,1.300
2021,MANDAILING NATAL,0.850
2021,TAPANULI SELATAN,1.098
2021,TAPANULI TENGAH,1.219
2021,TAPANULI UTARA,2.220
2021,TOBA SAMOSIR,1.842
2021,LABUHAN BATU,0.991
2021,ASAHAN,1.184
2021,SIMALUNGUN,1.370
2021,DAIRI,2.031
2021,KARO,1.403
2021,DELI SERDANG,0.913
2021,LANGKAT,0.878
2021,NIAS SELATAN,1.095
2021,HUMBANG HASUNDUTAN,2.480
2021,PAKPAK BHARAT,2.184
2021,SAMOSIR,2.427
2021,SERDANG BEDAGAI,1.023
2021,BATU BARA,1.020
2021,PADANG LAWAS UTARA,1.380
2021,PADANG LAWAS,1.096
2021,LABUHAN BATU SELATAN,1.212
2021,LABUHAN BATU UTARA,1.428
2021,NIAS UTARA,1.251
2021,NIAS BARAT,1.192
2021,SIBOLGA,0.870
2021,TANJUNG BALAI,1.104
2021,PEMATANG SIANTAR,1.153
2021,TEBING TINGGI,1.043
2021,MEDAN,0.891
2021,BINJAI,0.757
2021,PADANGSIDIMPUAN,0.936
2021,GUNUNGSITOLI,1.089
2021,KEPULAUAN MENTAWAI,1.085
2021,PESISIR SELATAN,0.641
2021,SOLOK,0.671
2021,SIJUNJUNG,0.684
2021,TANAH DATAR,0.776
2021,PADANG PARIAMAN,0.601
2021,AGAM,0.758
2021,LIMA PULUH KOTA,0.903
2021,PASAMAN,0.823
2021,SOLOK SELATAN,0.768
2021,DHARMASRAYA,0.724
2021,PASAMAN BARAT,0.802
2021,PADANG,0.544
2021,SOLOK,0.685
2021,SAWAH LUNTO,0.698
2021,PADANG PANJANG,0.668
2021,BUKITTINGGI,0.667
2021,PAYAKUMBUH,0.695
2021,PARIAMAN,0.596
2021,KUANTAN SINGINGI,0.929
2021,INDRAGIRI HULU,0.788
2021,INDRAGIRI HILIR,1.116
2021,PELALAWAN,1.055
2021,SIAK,0.945
2021,KAMPAR,0.805
2021,ROKAN HULU,0.961
2021,BENGKALIS,1.092
2021,ROKAN HILIR,1.170
2021,KEPULAUAN MERANTI,1.043
2021,PEKANBARU,0.817
2021,DUMAI,0.909
2021,KERINCI,0.854
2021,MERANGIN,0.717
2021,SAROLANGUN,0.712
2021,BATANG HARI,0.691
2021,MUARO JAMBI,0.897
2021,TANJUNG JABUNG TIMUR,1.026
2021,TANJUNG JABUNG BARAT,0.809
2021,TEBO,0.851
2021,BUNGO,0.863
2021,JAMBI,0.823
2021,SUNGAI PENUH,0.757
